task_id,created_at,completed_at,task_type,priority,assigned_staff_id,status
t_0_44,2025-11-06 18:28:00,2025-11-06 18:49:21.305843,Transport,3,s_33,completed
t_0_45,2025-11-06 13:59:00,2025-11-06 14:17:32.775548,Checkup,1,s_29,completed
t_0_46,2025-11-06 00:43:00,2025-11-06 00:58:14.073627,Transport,2,s_38,completed
t_0_47,2025-11-06 08:30:00,2025-11-06 08:50:38.107496,Checkup,3,s_16,completed
t_0_48,2025-11-06 06:18:00,2025-11-06 06:50:08.252619,Procedure,2,s_5,completed
t_0_49,2025-11-06 02:30:00,2025-11-06 02:54:42.054174,Procedure,1,s_31,completed
t_0_50,2025-11-06 17:11:00,2025-11-06 17:22:43.991557,Procedure,2,s_21,completed
t_0_51,2025-11-06 10:30:00,2025-11-06 10:41:56.293934,Procedure,1,s_9,completed
t_0_52,2025-11-06 09:07:00,2025-11-06 09:29:34.637715,Vitals,2,s_25,completed
t_0_53,2025-11-06 00:28:00,2025-11-06 00:53:51.905575,Checkup,2,s_3,completed
t_0_54,2025-11-06 06:12:00,2025-11-06 06:38:57.498664,Transport,1,s_22,completed
t_0_55,2025-11-06 07:36:00,2025-11-06 08:02:46.167539,Transport,2,s_32,completed
t_0_56,2025-11-06 04:58:00,2025-11-06 05:14:05.305756,Medication,2,s_8,completed
t_0_57,2025-11-06 19:18:00,2025-11-06 19:35:48.929789,Medication,2,s_22,completed
t_0_58,2025-11-06 01:58:00,2025-11-06 02:33:53.607715,Procedure,3,s_4,completed
t_0_59,2025-11-06 04:03:00,2025-11-06 04:23:22.609252,Procedure,3,s_4,completed
t_0_60,2025-11-06 14:00:00,2025-11-06 14:35:57.355029,Medication,2,s_11,completed
t_0_61,2025-11-06 13:05:00,2025-11-06 13:20:07.894499,Vitals,1,s_37,completed
t_0_62,2025-11-06 14:06:00,2025-11-06 14:22:58.481957,Checkup,1,s_10,completed
t_0_63,2025-11-06 05:49:00,2025-11-06 06:03:27.162449,Transport,2,s_16,completed
t_0_64,2025-11-06 05:13:00,2025-11-06 05:32:33.104518,Medication,2,s_25,completed
t_0_65,2025-11-06 11:03:00,2025-11-06 11:11:13.075821,Procedure,2,s_36,completed
t_0_66,2025-11-06 08:34:00,2025-11-06 08:50:52.219490,Medication,1,s_10,completed
t_0_67,2025-11-06 15:13:00,2025-11-06 15:29:02.829311,Checkup,3,s_2,completed
t_0_68,2025-11-06 01:39:00,2025-11-06 01:54:14.736219,Procedure,2,s_17,completed
t_0_69,2025-11-06 01:03:00,2025-11-06 01:16:26.036882,Transport,3,s_21,completed
t_0_70,2025-11-06 10:49:00,2025-11-06 11:01:58.018627,Vitals,2,s_1,completed
t_0_71,2025-11-06 05:57:00,2025-11-06 06:25:51.054662,Checkup,2,s_19,completed
t_0_72,2025-11-06 12:06:00,2025-11-06 12:31:10.776502,Procedure,1,s_30,completed
t_0_73,2025-11-06 05:58:00,2025-11-06 06:29:45.493901,Medication,2,s_32,completed
t_0_74,2025-11-06 10:32:00,2025-11-06 10:51:44.390145,Vitals,1,s_10,completed
t_0_75,2025-11-06 03:44:00,2025-11-06 04:12:34.604582,Checkup,3,s_15,completed
t_0_76,2025-11-06 08:27:00,2025-11-06 08:41:29.114026,Vitals,3,s_20,completed
t_0_77,2025-11-06 09:43:00,2025-11-06 10:06:25.915948,Medication,1,s_20,completed
t_0_78,2025-11-06 03:40:00,2025-11-06 03:55:01.019092,Medication,2,s_3,completed
t_0_79,2025-11-06 08:32:00,2025-11-06 08:51:05.355676,Transport,2,s_1,completed
t_0_80,2025-11-06 03:04:00,2025-11-06 03:19:31.135128,Transport,3,s_29,completed
t_0_81,2025-11-06 11:56:00,2025-11-06 12:26:23.172442,Vitals,3,s_12,completed
t_0_82,2025-11-06 21:49:00,2025-11-06 22:19:21.150994,Vitals,3,s_4,completed
t_0_83,2025-11-06 19:52:00,2025-11-06 20:12:43.140289,Procedure,3,s_38,completed
t_0_84,2025-11-06 17:41:00,2025-11-06 17:53:43.527531,Procedure,3,s_26,completed
t_0_85,2025-11-06 23:35:00,2025-11-07 00:00:43.552249,Checkup,1,s_37,completed
t_0_86,2025-11-06 03:57:00,2025-11-06 04:16:00.701407,Medication,1,s_12,completed
t_0_87,2025-11-06 09:17:00,2025-11-06 09:42:24.869561,Medication,3,s_13,completed
t_0_88,2025-11-06 10:15:00,2025-11-06 10:27:06.709709,Transport,3,s_9,completed
t_0_89,2025-11-06 04:46:00,2025-11-06 05:13:14.620134,Medication,2,s_12,completed
t_0_90,2025-11-06 14:28:00,2025-11-06 14:52:02.187039,Checkup,2,s_1,completed
t_0_91,2025-11-06 03:10:00,2025-11-06 03:34:11.619887,Vitals,1,s_34,completed
t_0_92,2025-11-06 12:44:00,2025-11-06 12:54:48.553217,Checkup,2,s_9,completed
t_0_93,2025-11-06 16:46:00,2025-11-06 17:08:45.469595,Vitals,3,s_38,completed
t_0_94,2025-11-06 15:24:00,2025-11-06 15:45:43.609284,Vitals,3,s_2,completed
t_0_95,2025-11-06 00:56:00,2025-11-06 01:25:05.654164,Checkup,2,s_26,completed
t_0_96,2025-11-06 13:53:00,2025-11-06 14:22:27.918671,Transport,3,s_12,completed
t_0_97,2025-11-06 15:35:00,2025-11-06 15:41:56.085763,Transport,2,s_29,completed
t_0_98,2025-11-06 14:05:00,2025-11-06 14:10:49.073785,Transport,1,s_3,completed
t_0_99,2025-11-06 07:30:00,2025-11-06 07:48:05.217269,Procedure,1,s_2,completed
t_0_100,2025-11-06 10:48:00,2025-11-06 11:01:01.164119,Medication,1,s_25,completed
t_0_101,2025-11-06 06:35:00,2025-11-06 06:47:35.204409,Medication,2,s_2,completed
t_0_102,2025-11-06 09:26:00,2025-11-06 09:44:18.201822,Medication,3,s_39,completed
t_0_103,2025-11-06 12:33:00,2025-11-06 13:01:02.637560,Medication,3,s_0,completed
t_0_104,2025-11-06 19:25:00,2025-11-06 19:40:17.379761,Procedure,3,s_26,completed
t_0_105,2025-11-06 08:18:00,2025-11-06 08:42:38.393259,Procedure,1,s_9,completed
t_0_106,2025-11-06 11:59:00,2025-11-06 12:16:23.727341,Checkup,2,s_39,completed
t_0_107,2025-11-06 03:31:00,2025-11-06 03:47:41.071305,Vitals,1,s_5,completed
t_0_108,2025-11-06 05:09:00,2025-11-06 05:23:36.123314,Medication,2,s_28,completed
t_0_109,2025-11-06 12:26:00,2025-11-06 12:42:16.293782,Transport,2,s_4,completed
t_0_110,2025-11-06 23:11:00,2025-11-06 23:27:30.053579,Procedure,3,s_2,completed
t_0_111,2025-11-06 20:12:00,2025-11-06 20:35:48.073557,Transport,2,s_18,completed
t_0_112,2025-11-06 14:30:00,2025-11-06 14:57:13.294585,Procedure,3,s_24,completed
t_0_113,2025-11-06 19:57:00,2025-11-06 20:07:08.253977,Vitals,2,s_13,completed
t_0_114,2025-11-06 07:21:00,2025-11-06 07:35:40.060644,Medication,2,s_2,completed
t_0_115,2025-11-06 05:19:00,2025-11-06 05:36:54.127656,Procedure,3,s_9,completed
t_0_116,2025-11-06 01:54:00,2025-11-06 02:15:22.314642,Transport,1,s_8,completed
t_0_117,2025-11-06 23:18:00,2025-11-06 23:33:47.167727,Checkup,3,s_1,completed
t_0_118,2025-11-06 08:31:00,2025-11-06 08:45:16.148762,Vitals,1,s_33,completed
t_0_119,2025-11-06 04:12:00,2025-11-06 04:38:17.070503,Medication,3,s_6,completed
t_0_120,2025-11-06 11:09:00,2025-11-06 11:30:09.400821,Transport,3,s_35,completed
t_0_121,2025-11-06 08:45:00,2025-11-06 09:05:05.259183,Procedure,1,s_19,completed
t_0_122,2025-11-06 22:30:00,2025-11-06 23:00:47.949274,Procedure,1,s_26,completed
t_0_123,2025-11-06 00:47:00,2025-11-06 01:08:42.259532,Checkup,1,s_8,completed
t_0_124,2025-11-06 18:18:00,2025-11-06 18:34:32.924597,Checkup,2,s_19,completed
t_0_125,2025-11-06 13:45:00,2025-11-06 14:05:37.918162,Checkup,1,s_4,completed
t_0_126,2025-11-06 09:57:00,2025-11-06 10:14:34.434476,Checkup,1,s_9,completed
t_0_127,2025-11-06 07:18:00,2025-11-06 07:36:01.708099,Vitals,1,s_3,completed
t_0_128,2025-11-06 00:22:00,2025-11-06 00:47:45.954545,Vitals,3,s_36,completed
t_0_129,2025-11-06 16:43:00,2025-11-06 16:54:24.552476,Procedure,1,s_2,completed
t_0_130,2025-11-06 12:02:00,2025-11-06 12:28:03.189092,Transport,2,s_20,completed
t_0_131,2025-11-06 16:17:00,2025-11-06 16:27:49.489175,Medication,1,s_17,completed
t_0_132,2025-11-06 13:47:00,2025-11-06 13:55:22.127019,Vitals,3,s_38,completed
t_0_133,2025-11-06 17:15:00,2025-11-06 17:26:15.137418,Transport,2,s_21,completed
t_0_134,2025-11-06 02:51:00,2025-11-06 03:16:44.787609,Medication,3,s_11,completed
t_0_135,2025-11-06 18:57:00,2025-11-06 19:10:37.165813,Transport,1,s_27,completed
t_0_136,2025-11-06 15:30:00,2025-11-06 15:57:30.668818,Transport,2,s_1,completed
t_0_137,2025-11-06 13:27:00,2025-11-06 13:48:31.816824,Transport,3,s_5,completed
t_0_138,2025-11-06 09:36:00,2025-11-06 10:02:19.578201,Procedure,2,s_38,completed
t_0_139,2025-11-06 00:07:00,2025-11-06 00:12:49.370349,Transport,3,s_12,completed
t_0_140,2025-11-06 06:54:00,2025-11-06 07:09:04.447031,Checkup,3,s_37,completed
t_0_141,2025-11-06 05:02:00,2025-11-06 05:26:29.199256,Vitals,1,s_22,completed
t_0_142,2025-11-06 01:23:00,2025-11-06 01:52:56.559536,Vitals,2,s_16,completed
t_0_143,2025-11-06 19:44:00,2025-11-06 19:58:14.619102,Transport,3,s_15,completed
t_0_144,2025-11-06 08:52:00,2025-11-06 09:06:13.136912,Transport,2,s_17,completed
t_0_145,2025-11-06 19:14:00,2025-11-06 19:30:00.120575,Vitals,1,s_28,completed
t_0_146,2025-11-06 16:18:00,2025-11-06 16:37:35.290201,Medication,1,s_31,completed
t_0_147,2025-11-06 09:23:00,2025-11-06 09:41:27.208676,Vitals,1,s_15,completed
t_0_148,2025-11-06 13:54:00,2025-11-06 14:13:21.481513,Medication,2,s_33,completed
t_0_149,2025-11-06 06:20:00,2025-11-06 06:39:49.611038,Procedure,1,s_14,completed
t_0_150,2025-11-06 10:24:00,2025-11-06 10:48:36.420075,Checkup,1,s_26,completed
t_0_151,2025-11-06 02:12:00,2025-11-06 02:29:13.980910,Procedure,2,s_0,completed
t_0_152,2025-11-06 20:02:00,2025-11-06 20:20:27.727670,Procedure,3,s_22,completed
t_0_153,2025-11-06 02:36:00,2025-11-06 02:53:45.609858,Checkup,1,s_15,completed
t_0_154,2025-11-06 20:59:00,2025-11-06 21:10:09.170052,Transport,2,s_33,completed
t_0_155,2025-11-06 12:16:00,2025-11-06 12:42:46.570532,Vitals,1,s_29,completed
t_0_156,2025-11-06 16:08:00,2025-11-06 16:18:05.167079,Procedure,3,s_9,completed
t_0_157,2025-11-06 18:09:00,2025-11-06 18:24:30.033919,Transport,1,s_18,completed
t_0_158,2025-11-06 14:06:00,2025-11-06 14:21:46.325939,Vitals,2,s_27,completed
t_0_159,2025-11-06 13:34:00,2025-11-06 14:12:59.720307,Transport,2,s_38,completed
t_0_160,2025-11-06 04:15:00,2025-11-06 04:27:39.619630,Vitals,3,s_1,completed
t_0_161,2025-11-06 22:22:00,2025-11-06 22:33:10.415553,Checkup,1,s_6,completed
t_0_162,2025-11-06 04:28:00,2025-11-06 04:56:59.944538,Medication,3,s_27,completed
t_0_163,2025-11-06 10:32:00,2025-11-06 10:51:36.034258,Checkup,3,s_34,completed
t_0_164,2025-11-06 07:47:00,2025-11-06 08:05:32.814575,Checkup,2,s_28,completed
t_0_165,2025-11-06 21:44:00,2025-11-06 22:13:14.952805,Checkup,1,s_13,completed
t_0_166,2025-11-06 21:32:00,2025-11-06 21:51:04.569390,Procedure,2,s_36,completed
t_0_167,2025-11-06 21:56:00,2025-11-06 22:20:01.545285,Medication,3,s_18,completed
t_0_168,2025-11-06 20:46:00,2025-11-06 21:06:35.949776,Procedure,1,s_10,completed
t_0_169,2025-11-06 16:53:00,2025-11-06 17:11:03.083354,Checkup,2,s_33,completed
t_0_170,2025-11-06 12:04:00,2025-11-06 12:21:24.966545,Vitals,2,s_26,completed
t_0_171,2025-11-06 00:41:00,2025-11-06 00:59:19.073662,Procedure,3,s_33,completed
t_0_172,2025-11-06 00:49:00,2025-11-06 01:01:36.655429,Procedure,3,s_21,completed
t_0_173,2025-11-06 06:29:00,2025-11-06 06:55:46.064330,Transport,1,s_26,completed
t_0_174,2025-11-06 21:04:00,2025-11-06 21:26:05.679314,Procedure,3,s_4,completed
t_0_175,2025-11-06 06:59:00,2025-11-06 07:24:11.826580,Transport,2,s_16,completed
t_0_176,2025-11-06 03:22:00,2025-11-06 03:44:11.763737,Medication,3,s_7,completed
t_0_177,2025-11-06 08:49:00,2025-11-06 08:58:36.465987,Procedure,3,s_3,completed
t_0_178,2025-11-06 21:25:00,2025-11-06 21:47:26.030179,Transport,2,s_33,completed
t_0_179,2025-11-06 21:57:00,2025-11-06 22:21:41.657699,Transport,1,s_17,completed
t_0_180,2025-11-06 00:54:00,2025-11-06 01:03:53.551270,Transport,1,s_15,completed
t_0_181,2025-11-06 16:20:00,2025-11-06 16:43:06.838486,Transport,2,s_34,completed
t_0_182,2025-11-06 21:27:00,2025-11-06 21:37:05.479892,Medication,3,s_38,completed
t_0_183,2025-11-06 04:51:00,2025-11-06 05:17:50.706354,Medication,3,s_2,completed
t_0_184,2025-11-06 06:13:00,2025-11-06 06:42:07.297075,Checkup,2,s_19,completed
t_0_185,2025-11-06 18:10:00,2025-11-06 18:23:40.161164,Checkup,3,s_31,completed
t_0_186,2025-11-06 08:55:00,2025-11-06 09:17:03.981086,Checkup,3,s_9,completed
t_0_187,2025-11-06 06:22:00,2025-11-06 06:44:11.202642,Checkup,1,s_35,completed
t_0_188,2025-11-06 04:02:00,2025-11-06 04:22:33.564411,Transport,3,s_19,completed
t_0_189,2025-11-06 05:20:00,2025-11-06 05:42:14.790626,Procedure,3,s_34,completed
t_0_190,2025-11-06 07:40:00,2025-11-06 07:56:20.401913,Medication,2,s_22,completed
t_0_191,2025-11-06 00:34:00,2025-11-06 00:48:52.181660,Checkup,2,s_1,completed
t_0_192,2025-11-06 04:07:00,2025-11-06 04:28:40.031949,Transport,3,s_1,completed
t_0_193,2025-11-06 05:59:00,2025-11-06 06:13:06.875806,Medication,3,s_12,completed
t_0_194,2025-11-06 03:29:00,2025-11-06 03:42:54.174681,Vitals,1,s_35,completed
t_0_195,2025-11-06 02:57:00,2025-11-06 03:30:38.998144,Procedure,1,s_29,completed
t_0_196,2025-11-06 19:51:00,2025-11-06 20:07:46.966451,Vitals,1,s_7,completed
t_0_197,2025-11-06 22:11:00,2025-11-06 22:32:19.313055,Procedure,1,s_28,completed
t_0_198,2025-11-06 01:42:00,2025-11-06 02:02:59.304761,Transport,2,s_38,completed
t_0_199,2025-11-06 05:45:00,2025-11-06 06:06:00.965674,Procedure,1,s_15,completed
t_0_200,2025-11-06 05:29:00,2025-11-06 05:51:10.825118,Checkup,3,s_28,completed
t_0_201,2025-11-06 14:47:00,2025-11-06 15:05:32.584520,Procedure,3,s_21,completed
t_0_202,2025-11-06 21:58:00,2025-11-06 22:16:27.767120,Checkup,2,s_7,completed
t_0_203,2025-11-06 10:58:00,2025-11-06 11:10:56.585418,Vitals,3,s_8,completed
t_0_204,2025-11-06 12:18:00,2025-11-06 12:33:05.504966,Transport,3,s_6,completed
t_0_205,2025-11-06 10:15:00,2025-11-06 10:30:59.696188,Vitals,3,s_38,completed
t_0_206,2025-11-06 12:55:00,2025-11-06 13:18:13.843581,Procedure,3,s_35,completed
t_0_207,2025-11-06 00:19:00,2025-11-06 00:36:56.296376,Checkup,1,s_12,completed
t_0_208,2025-11-06 15:07:00,2025-11-06 15:25:10.623796,Medication,1,s_20,completed
t_0_209,2025-11-06 16:00:00,2025-11-06 16:22:35.651334,Medication,2,s_34,completed
t_0_210,2025-11-06 05:04:00,2025-11-06 05:22:21.915492,Procedure,1,s_7,completed
t_0_211,2025-11-06 18:55:00,2025-11-06 19:22:54.388883,Transport,1,s_22,completed
t_0_212,2025-11-06 20:25:00,2025-11-06 20:49:41.712176,Transport,2,s_22,completed
t_0_213,2025-11-06 16:48:00,2025-11-06 17:10:08.308693,Transport,1,s_19,completed
t_0_214,2025-11-06 13:00:00,2025-11-06 13:21:53.651041,Medication,1,s_28,completed
t_0_215,2025-11-06 06:14:00,2025-11-06 06:29:40.393199,Transport,1,s_1,completed
t_0_216,2025-11-06 16:57:00,2025-11-06 17:12:49.075915,Procedure,1,s_36,completed
t_0_217,2025-11-06 14:08:00,2025-11-06 14:31:57.935010,Medication,3,s_5,completed
t_0_218,2025-11-06 23:14:00,2025-11-06 23:32:19.534313,Checkup,1,s_26,completed
t_0_219,2025-11-06 08:45:00,2025-11-06 09:00:26.653070,Vitals,1,s_30,completed
t_0_220,2025-11-06 11:24:00,2025-11-06 11:35:59.949601,Checkup,2,s_36,completed
t_0_221,2025-11-06 02:22:00,2025-11-06 02:35:45.862208,Checkup,2,s_20,completed
t_0_222,2025-11-06 06:04:00,2025-11-06 06:23:16.545628,Procedure,1,s_1,completed
t_0_223,2025-11-06 05:39:00,2025-11-06 05:55:34.380328,Medication,3,s_16,completed
t_0_224,2025-11-06 16:21:00,2025-11-06 16:49:02.751903,Checkup,3,s_5,completed
t_0_225,2025-11-06 02:07:00,2025-11-06 02:35:34.243500,Procedure,3,s_36,completed
t_0_226,2025-11-06 09:33:00,2025-11-06 09:49:38.158746,Procedure,3,s_18,completed
t_0_227,2025-11-06 23:30:00,2025-11-06 23:36:52.545333,Transport,1,s_26,completed
t_0_228,2025-11-06 00:59:00,2025-11-06 01:14:59.181193,Transport,1,s_27,completed
t_0_229,2025-11-06 14:02:00,2025-11-06 14:22:44.953187,Vitals,3,s_16,completed
t_0_230,2025-11-06 17:58:00,2025-11-06 18:12:21.076357,Procedure,2,s_13,completed
t_0_231,2025-11-06 03:26:00,2025-11-06 03:49:35.093964,Medication,3,s_5,completed
t_0_232,2025-11-06 21:11:00,2025-11-06 21:17:57.922437,Transport,3,s_35,completed
t_0_233,2025-11-06 13:03:00,2025-11-06 13:29:52.745323,Procedure,2,s_37,completed
t_0_234,2025-11-06 20:17:00,2025-11-06 20:43:09.185945,Vitals,3,s_30,completed
t_0_235,2025-11-06 21:47:00,2025-11-06 22:00:22.473866,Vitals,2,s_8,completed
t_0_236,2025-11-06 21:54:00,2025-11-06 22:10:54.202420,Medication,2,s_7,completed
t_0_237,2025-11-06 05:21:00,2025-11-06 05:32:24.086858,Checkup,3,s_12,completed
t_0_238,2025-11-06 13:16:00,2025-11-06 13:32:32.435349,Checkup,3,s_20,completed
t_0_239,2025-11-06 06:57:00,2025-11-06 07:06:37.564813,Procedure,2,s_12,completed
t_0_240,2025-11-06 02:08:00,2025-11-06 02:21:50.414972,Checkup,2,s_13,completed
t_0_241,2025-11-06 10:00:00,2025-11-06 10:23:34.927005,Procedure,3,s_29,completed
t_0_242,2025-11-06 09:39:00,2025-11-06 10:07:51.661384,Checkup,2,s_15,completed
t_0_243,2025-11-06 11:42:00,2025-11-06 12:00:48.155846,Vitals,2,s_30,completed
t_0_244,2025-11-06 11:42:00,2025-11-06 12:14:13.260768,Medication,2,s_39,completed
t_0_245,2025-11-06 11:17:00,2025-11-06 11:42:03.523426,Checkup,3,s_4,completed
t_0_246,2025-11-06 18:52:00,2025-11-06 19:06:20.560764,Procedure,3,s_29,completed
t_0_247,2025-11-06 14:23:00,2025-11-06 14:41:15.483958,Medication,3,s_34,completed
t_0_248,2025-11-06 20:49:00,2025-11-06 21:05:42.282858,Procedure,1,s_27,completed
t_0_249,2025-11-06 23:17:00,2025-11-06 23:44:50.899020,Checkup,3,s_14,completed
t_0_250,2025-11-06 03:08:00,2025-11-06 03:40:15.781189,Vitals,1,s_3,completed
t_0_251,2025-11-06 19:32:00,2025-11-06 20:00:26.250180,Procedure,2,s_16,completed
t_0_252,2025-11-06 20:31:00,2025-11-06 20:45:26.949934,Medication,1,s_14,completed
t_0_253,2025-11-06 04:39:00,2025-11-06 05:12:23.272970,Transport,1,s_20,completed
t_0_254,2025-11-06 20:50:00,2025-11-06 21:24:41.031979,Procedure,2,s_9,completed
t_0_255,2025-11-06 07:59:00,2025-11-06 08:23:10.867414,Checkup,1,s_37,completed
t_0_256,2025-11-06 06:41:00,2025-11-06 06:58:12.652985,Vitals,3,s_30,completed
t_0_257,2025-11-06 19:37:00,2025-11-06 19:53:52.409920,Procedure,2,s_17,completed
t_0_258,2025-11-06 04:14:00,2025-11-06 04:35:18.147861,Transport,1,s_0,completed
t_0_259,2025-11-06 06:55:00,2025-11-06 07:22:33.474993,Procedure,1,s_1,completed
t_0_260,2025-11-06 09:11:00,2025-11-06 09:33:56.219124,Medication,3,s_37,completed
t_0_261,2025-11-06 11:30:00,2025-11-06 11:42:56.923657,Vitals,2,s_37,completed
t_0_262,2025-11-06 08:18:00,2025-11-06 08:42:34.540939,Procedure,1,s_3,completed
t_0_263,2025-11-06 03:39:00,2025-11-06 04:02:15.249626,Transport,1,s_13,completed
t_0_264,2025-11-06 11:19:00,2025-11-06 11:37:16.440157,Medication,3,s_25,completed
t_0_265,2025-11-06 10:56:00,2025-11-06 11:21:08.755487,Transport,2,s_37,completed
t_0_266,2025-11-06 14:57:00,2025-11-06 15:10:18.366845,Medication,3,s_26,completed
t_0_267,2025-11-06 14:43:00,2025-11-06 14:59:58.498879,Checkup,3,s_24,completed
t_0_268,2025-11-06 00:01:00,2025-11-06 00:10:03.564457,Checkup,2,s_29,completed
t_0_269,2025-11-06 06:57:00,2025-11-06 07:22:04.543530,Transport,2,s_28,completed
t_0_270,2025-11-06 13:57:00,2025-11-06 14:15:04.549908,Transport,2,s_36,completed
t_0_271,2025-11-06 23:22:00,2025-11-06 23:33:31.769146,Medication,3,s_39,completed
t_0_272,2025-11-06 08:39:00,2025-11-06 08:59:48.275544,Vitals,2,s_18,completed
t_0_273,2025-11-06 05:00:00,2025-11-06 05:29:59.478034,Medication,2,s_16,completed
t_0_274,2025-11-06 07:50:00,2025-11-06 08:14:07.052589,Checkup,3,s_32,completed
t_0_275,2025-11-06 16:40:00,2025-11-06 16:59:59.315983,Transport,3,s_4,completed
t_0_276,2025-11-06 01:11:00,2025-11-06 01:32:11.992114,Vitals,2,s_19,completed
t_1_0,2025-11-07 07:17:00,2025-11-07 07:41:06.581129,Vitals,2,s_21,completed
t_1_1,2025-11-07 07:09:00,2025-11-07 07:36:11.359258,Transport,1,s_15,completed
t_1_2,2025-11-07 01:36:00,2025-11-07 01:51:35.055183,Checkup,2,s_8,completed
t_1_3,2025-11-07 18:43:00,2025-11-07 18:54:28.424678,Checkup,2,s_27,completed
t_1_4,2025-11-07 05:22:00,2025-11-07 05:33:50.920788,Procedure,3,s_5,completed
t_1_5,2025-11-07 23:48:00,2025-11-08 00:09:30.572224,Procedure,3,s_29,completed
t_1_6,2025-11-07 00:44:00,2025-11-07 01:05:21.108146,Transport,2,s_39,completed
t_1_7,2025-11-07 22:52:00,2025-11-07 23:12:53.949448,Procedure,1,s_16,completed
t_1_8,2025-11-07 00:04:00,2025-11-07 00:19:51.652052,Vitals,1,s_36,completed
